Posted_date,Job Title,Country,Company,Skill
12/04/2024,Senior Backend Developer,germany,Lodgify,Entity Framework
12/04/2024,Senior Backend Developer,germany,Lodgify,PostgreSQL
12/04/2024,Senior Backend Developer,germany,Lodgify,SQL
12/04/2024,Senior Backend Developer,germany,Lodgify, Unit Testing
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Code Review
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Confluence
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Doctrine (PHP)
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,HTML
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,JavaScript
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Jira
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,PHP
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,SQL
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Web Application Development
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics, Web Development
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Elasticsearch
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Microservices
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,MongoDB
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,NoSQL
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Node.js
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Object-oriented Software
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Optimization
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Redis
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group,Software Development
11/21/2024,Backend Software Developer (f/m/d),germany,XXXLdigital – Part of XXXL Group, Test-Driven Development
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Back-End Web Development
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Databases
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Debugging
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Engine Development
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Engineering
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Go (Programming Language)
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Kubernetes
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Linux
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch,Teamwork
11/30/2024,StreamingGuide - Junior Backend Developer,germany,JustWatch, Video Advertising
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,Automation
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,Back-End Web Development
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,Computer Science
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,GraphQL
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,HashiCorp
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,Java
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,Representational State Transfer (REST)
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,SQL
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH,Vue.js
11/05/2024,Go Backend Developer (m/w/d),germany,Wilde-IT GmbH, gRPC
11/14/2024,Back End Developer,germany,InterEx Group,Databases  NoSQL
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,Cryptocurrency
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,Figma (Software)
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,FinTech
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,Payments
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,Product Road Mapping
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,UX Research
12/04/2024,Backend Developer (Golang),germany,Trust Wallet,User Experience (UX)
12/04/2024,Backend Developer (Golang),germany,Trust Wallet, User-centered Design
11/14/2024,Senior Backend Developer,germany,Understanding Recruitment,Node.js
11/07/2024,Back End Developer,germany,Explore Group,Back-End Web Development
11/07/2024,Back End Developer,germany,Explore Group,Docker Products
11/07/2024,Back End Developer,germany,Explore Group,Java
11/07/2024,Back End Developer,germany,Explore Group,Kotlin
11/07/2024,Back End Developer,germany,Explore Group,PostgreSQL
11/07/2024,Back End Developer,germany,Explore Group, Server Side
11/14/2024,Senior Go/Node.js Developer - FULLY REMOTE,germany,InterQuest Group,Go (Programming Language)  Node.js
12/04/2024,Full stack developer,germany,RED Global,Amazon Web Services (AWS)
12/04/2024,Full stack developer,germany,RED Global,Full-Stack Development
12/04/2024,Full stack developer,germany,RED Global,React Native
12/04/2024,Full stack developer,germany,RED Global,Stack
12/04/2024,Full stack developer,germany,RED Global, Telecommuting
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Code Review
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Confluence
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Doctrine (PHP)
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,HTML
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,JavaScript
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Jira
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,PHP
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,SQL
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Web Application Development
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics, Web Development
11/28/2024,Web Application Backend Developer (m/w/d) bis zu 7.500 brutto,germany,Fokus Academics,Code Review
